               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021674,           0.0083789,           0.0034217,             0.87012,             0.93676,             0.92216,             0.77963,            0.017095,            0.009409,           0.0025877,            0.008845,            0.008845,            0.008845
                  37,            0.021367,           0.0083932,           0.0034178,             0.86149,             0.95263,             0.91055,             0.77267,            0.016074,           0.0093327,           0.0024403,            0.008812,            0.008812,            0.008812
                  38,            0.021195,           0.0081214,           0.0032634,             0.92438,             0.93676,             0.92798,             0.78384,            0.016307,           0.0092297,           0.0028303,            0.008779,            0.008779,            0.008779
                  39,            0.020813,            0.008362,             0.00328,             0.87317,             0.93676,             0.92203,             0.78184,             0.01645,           0.0095158,           0.0034536,            0.008746,            0.008746,            0.008746
                  40,            0.020243,            0.007893,           0.0032248,             0.92506,             0.93676,             0.93091,             0.80197,            0.015958,           0.0093899,           0.0025461,            0.008713,            0.008713,            0.008713
                  41,            0.020846,           0.0080859,           0.0033484,             0.90434,             0.93676,             0.92541,              0.7712,              0.0168,           0.0093098,           0.0027044,             0.00868,             0.00868,             0.00868
                  42,            0.020434,           0.0080513,           0.0030794,             0.93079,             0.94532,             0.93783,             0.81403,            0.016088,           0.0097256,           0.0030874,            0.008647,            0.008647,            0.008647
                  43,            0.020611,           0.0084949,           0.0032642,             0.92411,             0.93676,             0.92839,             0.77512,            0.016615,           0.0093594,            0.003351,            0.008614,            0.008614,            0.008614
                  44,            0.020862,           0.0080566,           0.0032413,             0.93161,             0.93334,             0.92803,             0.78713,            0.016373,           0.0096378,           0.0033358,            0.008581,            0.008581,            0.008581
                  45,            0.020613,           0.0080718,           0.0031898,             0.91128,             0.94474,             0.92845,             0.78324,            0.015818,           0.0092754,           0.0034189,            0.008548,            0.008548,            0.008548
                  46,            0.020618,           0.0080267,           0.0033249,             0.89309,             0.93676,             0.92026,             0.78829,            0.015917,           0.0095615,            0.003783,            0.008515,            0.008515,            0.008515
                  47,            0.020448,           0.0080875,            0.003264,             0.89701,             0.96057,             0.93261,             0.79871,            0.016306,           0.0094013,           0.0035536,            0.008482,            0.008482,            0.008482
                  48,            0.020639,            0.007801,           0.0034233,             0.91295,             0.93676,             0.93033,             0.79342,             0.01617,           0.0094604,            0.004014,            0.008449,            0.008449,            0.008449
                  49,            0.020356,           0.0076532,           0.0033186,             0.88627,             0.93676,              0.9198,             0.77824,            0.015685,           0.0093708,           0.0028917,            0.008416,            0.008416,            0.008416
                  50,            0.020151,           0.0078642,           0.0031766,             0.84828,             0.96057,             0.91142,             0.78727,            0.016006,           0.0096264,           0.0033611,            0.008383,            0.008383,            0.008383
                  51,            0.019753,           0.0077484,           0.0031582,             0.88807,             0.96057,             0.91843,             0.79387,            0.015554,           0.0093269,           0.0030725,             0.00835,             0.00835,             0.00835
                  52,            0.019667,           0.0076041,           0.0031899,               0.914,             0.93676,             0.92214,             0.77284,            0.016355,           0.0089455,           0.0025249,            0.008317,            0.008317,            0.008317
                  53,             0.02007,           0.0077024,           0.0032659,             0.88973,             0.95359,             0.92067,              0.7778,             0.01556,           0.0093842,           0.0032343,            0.008284,            0.008284,            0.008284
                  54,            0.019786,            0.007839,           0.0032632,             0.89439,             0.95153,             0.91799,               0.792,            0.015355,            0.010067,           0.0038649,            0.008251,            0.008251,            0.008251
                  55,            0.019489,           0.0077318,            0.003018,             0.87433,             0.96057,             0.89932,             0.76274,            0.016216,           0.0094948,           0.0032335,            0.008218,            0.008218,            0.008218
                  56,            0.019601,           0.0079381,           0.0030153,              0.9121,             0.95645,             0.92032,             0.79974,            0.015667,           0.0091305,           0.0030933,            0.008185,            0.008185,            0.008185
                  57,            0.019538,           0.0077251,           0.0032072,             0.90725,             0.93676,             0.92698,             0.80183,            0.015801,           0.0094156,           0.0029598,            0.008152,            0.008152,            0.008152
                  58,            0.020047,           0.0078374,           0.0031952,             0.90812,             0.96057,             0.91966,              0.7912,            0.015131,           0.0094929,            0.002552,            0.008119,            0.008119,            0.008119
                  59,            0.019726,           0.0077661,           0.0031568,             0.89018,             0.96057,              0.9112,             0.78478,            0.015608,           0.0092678,           0.0028416,            0.008086,            0.008086,            0.008086
                  60,            0.019693,           0.0078948,           0.0031693,             0.89225,             0.95551,             0.92479,             0.78363,            0.015837,           0.0094032,           0.0036507,            0.008053,            0.008053,            0.008053
                  61,            0.019234,           0.0076849,           0.0029796,             0.86995,             0.96057,             0.92214,             0.78671,            0.015754,           0.0094395,           0.0033201,             0.00802,             0.00802,             0.00802
                  62,            0.019418,           0.0077621,           0.0031265,             0.87133,             0.96057,             0.92726,             0.80602,            0.015483,           0.0094471,           0.0028648,            0.007987,            0.007987,            0.007987
                  63,            0.019215,           0.0077547,           0.0029719,             0.88633,             0.93676,              0.9237,             0.80488,            0.015095,           0.0092602,            0.002287,            0.007954,            0.007954,            0.007954
                  64,            0.019449,           0.0076528,           0.0032083,             0.89589,             0.93676,             0.92596,             0.80786,            0.015044,           0.0096836,           0.0033323,            0.007921,            0.007921,            0.007921
                  65,            0.019158,            0.007667,           0.0032069,             0.88956,             0.92165,             0.92216,             0.78785,            0.015673,           0.0095978,           0.0051902,            0.007888,            0.007888,            0.007888
                  66,            0.019152,           0.0075947,           0.0031445,             0.87508,             0.96057,             0.92528,             0.79422,            0.015716,           0.0096931,           0.0050205,            0.007855,            0.007855,            0.007855
                  67,            0.019202,           0.0075115,           0.0030642,             0.93248,             0.95581,             0.92975,              0.7996,             0.01559,            0.010267,           0.0043619,            0.007822,            0.007822,            0.007822
                  68,            0.018775,            0.007609,           0.0030335,             0.91013,             0.96057,              0.9297,             0.79749,            0.015715,           0.0094051,           0.0038174,            0.007789,            0.007789,            0.007789
                  69,            0.018854,           0.0076097,           0.0030392,             0.87692,             0.96057,             0.91652,             0.80659,            0.015185,           0.0094872,            0.004726,            0.007756,            0.007756,            0.007756
                  70,            0.019169,           0.0073661,           0.0030756,             0.86595,             0.93676,             0.91637,             0.77541,            0.015692,            0.010063,           0.0044781,            0.007723,            0.007723,            0.007723
                  71,             0.01933,           0.0075345,           0.0031473,             0.87367,             0.94551,             0.92699,             0.80881,            0.015395,           0.0098476,           0.0041525,             0.00769,             0.00769,             0.00769
                  72,            0.018574,           0.0073144,            0.002952,             0.90473,             0.96057,             0.93382,             0.79584,            0.015205,           0.0098057,           0.0040577,            0.007657,            0.007657,            0.007657
                  73,            0.018797,           0.0075226,           0.0030516,             0.87623,             0.93676,             0.91268,             0.78943,            0.015172,           0.0099106,           0.0033068,            0.007624,            0.007624,            0.007624
                  74,            0.018572,           0.0076224,           0.0029231,             0.87688,             0.95807,             0.91636,             0.79079,            0.015461,           0.0093613,           0.0038303,            0.007591,            0.007591,            0.007591
                  75,            0.018462,           0.0074757,           0.0029241,             0.85904,             0.93676,             0.91772,             0.80246,            0.015793,           0.0099087,           0.0041195,            0.007558,            0.007558,            0.007558
                  76,            0.018181,           0.0074537,           0.0028925,             0.88794,             0.91792,             0.92257,             0.79796,            0.015873,           0.0098572,           0.0034039,            0.007525,            0.007525,            0.007525
                  77,            0.018584,           0.0073951,           0.0029899,             0.89431,             0.93676,             0.91735,             0.80356,            0.015398,           0.0096378,           0.0042297,            0.007492,            0.007492,            0.007492
                  78,            0.018479,           0.0074493,            0.002894,             0.85683,             0.96057,             0.90339,             0.78239,            0.014983,           0.0098209,            0.002645,            0.007459,            0.007459,            0.007459
